Ground truth divergence, Estimated divergence, Divergence error (%), Estimated velocity, Maximised contrast, Number of events in the sequence, ECMD Duration
0.005834, 0.039845, -582.924860, -3.9067e-07, 0.010344, 15253, 9.878969
0.014413, 0.039846, -176.450910, -3.90678e-07, 0.010929, 16126, 10.572674
0.026367, 0.039842, -51.105283, -3.9064e-07, 0.011962, 17669, 10.834203
0.034786, 0.039848, -14.551159, -3.90697e-07, 0.012463, 18419, 12.310165
0.042899, 0.039843, 7.124237, -3.90645e-07, 0.011599, 17126, 10.550574
0.042064, 0.048003, -14.117786, -4.68777e-07, 0.012648, 18695, 10.964991
0.041273, 0.048001, -16.302726, -4.68764e-07, 0.014657, 21711, 14.484564
0.044866, 0.048002, -6.989407, -4.68772e-07, 0.015780, 23401, 15.369217
0.044750, 0.048005, -7.272509, -4.68794e-07, 0.014579, 21593, 13.914579
0.046616, 0.048001, -2.970444, -4.68758e-07, 0.016737, 24845, 16.344443
0.044495, 0.048000, -7.876670, -4.68752e-07, 0.018482, 27486, 17.798258
0.047204, 0.052104, -10.380980, -5.07815e-07, 0.018781, 27940, 17.580095
0.050075, 0.052107, -4.056995, -5.07839e-07, 0.018793, 27958, 17.958480
0.050970, 0.056226, -10.311644, -5.46882e-07, 0.020191, 30083, 19.166038
0.050066, 0.060362, -20.566137, -5.8594e-07, 0.020044, 29859, 19.458495
0.052135, 0.060363, -15.780849, -5.85942e-07, 0.020708, 30870, 19.999800
0.053097, 0.060363, -13.684063, -5.85949e-07, 0.021885, 32666, 20.847619
0.057980, 0.064518, -11.276843, -6.25018e-07, 0.022608, 33771, 21.337255
0.057478, 0.064524, -12.257551, -6.25075e-07, 0.022501, 33607, 21.131760
0.058065, 0.064521, -11.118965, -6.25045e-07, 0.022629, 33801, 21.062467
0.060432, 0.066607, -10.217825, -6.44603e-07, 0.024384, 36494, 22.890126
0.064598, 0.070786, -9.578842, -6.83668e-07, 0.024254, 36292, 22.808223
0.065797, 0.072886, -10.773948, -7.03232e-07, 0.021701, 32385, 20.298313
0.068441, 0.077154, -12.730382, -7.42907e-07, 0.022326, 33340, 20.693154
0.069193, 0.077124, -11.463068, -7.42621e-07, 0.020291, 30235, 19.111119
0.073136, 0.085559, -16.986359, -8.20496e-07, 0.020841, 31073, 19.595426
0.075993, 0.089803, -18.173630, -8.59444e-07, 0.020602, 30709, 19.666653
0.080015, 0.089820, -12.254574, -8.59609e-07, 0.019616, 29209, 19.052663
0.080345, 0.098388, -22.457914, -9.37763e-07, 0.019085, 28402, 18.406856
0.086851, 0.102698, -18.247004, -9.76836e-07, 0.018380, 27332, 18.245359
0.088332, 0.107087, -21.232563, -1.01649e-06, 0.018474, 27475, 18.151762
0.092807, 0.111416, -20.051191, -1.05541e-06, 0.017412, 25866, 16.923910
0.096595, 0.120413, -24.656732, -1.13592e-06, 0.017650, 26227, 16.905581
0.103421, 0.129296, -25.019506, -1.21467e-06, 0.018330, 27257, 17.502179
